Department,Course Number,Course Title,Course Description,Terms,Units,Instructors
GSB,FINANCE 350,Corporate Financial Modeling,"This course will expose students to the fundamentals, best practices, and advanced techniques of corporate financial modeling. We begin with basic operating and integrated financial statement models, and ultimately develop financial models to analyze major corporate transactions, including venture capital funding, mergers and acquisitions, and leverage buyouts. We will integrate theories presented throughout the MBA core, particularly those from accounting and finance, and take a hands-on approach to understand how the theory is implemented in practice.The focus of the course will be on developing critical financial modeling skills, understanding best practices, and recognizing common pitfalls. Students will work on a series of cases and build models that can be used for earnings and pro-forma financial statement forecasts, valuation, the assessment of financing needs, merger analysis, and LBO evaluation.Students will also gain experience presenting financial models and critically assessing them. By the conclusion of the course, students will develop the skills to construct complex financial models and the logical frameworks to utilize them for various organizational applications.",Spr,4,"; DeMarzo, P. (PI); Abaya, S. (GP)"
GSB,FINANCE 351,Advanced Corporate Financial Modeling,"Students will engage in the development of corporate financial modeling cases and solutions. Students will also develop materials to aid others in building financial models, and serve as case leaders during lab workshops. Extensive background in financial modeling and experience with Excel is required.",Spr,4,"; DeMarzo, P. (PI); Abaya, S. (GP)"
GSB,FINANCE 362,Financial Trading Strategies,"The purpose of this course is to familiarize students with the different types of trading strategies employed by hedge funds. Throughout the sessions, students will be challenged to understand and explore the application and implementation of these different strategies. Trading simulations employed on the Rotman Interactive Trader will be used extensively in this course as a way to learn and test different strategies. All classes will be held in the Real-time Analytics and Investment Lab (RAIL), located on the third floor of the Bass Building (B312). Students are expected to attend all sessions. Grades are based on in-class simulation results, class participation, and two written assignments.",Spr,3,"; Mak, K. (PI); Shaker, S. (GP)"
GSB,FINANCE 587,Private Equity - An Overview of the Industry,"This 2-unit elective at the GSB is an ""Overview"" of the private equity industry including its reason for being, its growth and the various strategies for success that private equity firms employ. The course looks at all aspects of private equity partnerships and private equity investing. The course may be of particular interest to five groups of students: (i) students who aspire to be employed in private equity as a career; (ii) students who plan to be employed by companies that are owned by private equity firms; (iii) students who may invest in private equity partnerships as a limited partner; (iv) students who find private equity to be an interesting part of the financial services industry, and (v) students who expect to participate in corporate business development or mergers and acquisitions. The course will meet for nine classes. Each class will have at least one senior partner from a private equity firm to comment on the activities of his firm. In years past, some of the true leaders of the industry have participated. One class will be a mock investment review committee presentation as a final project.",Spr,2,"; Moore, C. (PI); Moore, C. (GP)"
GSB,FINANCE 624,Corporate Finance Theory,"This course considers a wide range of topics in theoretical corporate finance (broadly interpreted). Topics include capital structure decisions, agency conflicts in the firm, dividend policy, security design, optimal financial contracting, the theory of the firm, the market for corporate control, and banking and financial intermediation, among others. The primary focus is on how asymmetric information, agency conflicts, strategic interactions, and incomplete contracting affect corporate financial decision-making. The course aims both to familiarize students with influential papers and current research, and to promote new research ideas in the area.",Spr,4,"; Zwiebel, J. (PI); Lion-Transler, C. (GP)"
GSB,FINANCE 625,Empirical Asset Pricing,"This course is an introduction to empirical research in asset pricing. The focus of the course is on the interplay between financial economic theory, econometric method, and that analysis of financial market data. Topics include tests of asset pricing models, return predictability in time-series and cross-section, empirical studies of asset market imperfections, and studies of individual and professional investor behavior. Class discussions will draw on textbooks/monographs and original articles and working papers.",Spr,3,"; Lustig, H. (PI); Ngoba, N. (GP)"
GSB,FINANCE 632,International Finance and Macroeconomics,"This is an advanced graduate-level course in international finance and macroeconomics. The course focuses on empirical methods, stylized facts, new advances in large-scale empirical work, and applied theory. This course is targeted to advanced second year PhD students. The course assumes familiarity with the basics of graduate-level macroeconomics and finance. Students without the necessary familiarity with these techniques are welcome to take the course, but should expect to have to fill the gaps on their own (and with the help of their classmates!). Given the target audience above, the course has three main objectives. 1) To introduce and investigate both classic and new economic issues at the frontier of current research in international finance and macroeconomics. The purely pedagogical part of the course aims to make students familiar with the questions, the current state of research, and the empirical tools currently being used. 2) To create a mental framework and intuitive understanding of important and active questions. What makes a question interesting? What makes a paper a good paper? How to develop a reasoned view of new (and perhaps yet un-studied) issues in international finance and macroeconomics? This objective is less direct and less formal, but aims to transition the students into full-time researchers. 3) To kick-start students on independent research. For those interested in applied work the course makes you familiar and tries to connect you with existing data at the frontier of the field, both public and proprietary. For those interested in theoretical work the course staff acts as a sounding board for early research ideas.",Spr,4,"; Maggiori, M. (PI); Bocola, L. (SI); Molina, E. (GP)"
GSB,FINANCE 633,"Advanced Empirical Corporate, Banking and Household Finance","This course discusses empirical aspects of major topics in corporate finance, banking, financial regulation, and household finance. The course is designed for students doing their PhD in finance, economics and accounting. The class is very interactive.",Spr,3,"; Begenau, J. (PI); McCool, T. (GP)"
GSB,FINANCE 636,Finance Faculty Research Workshop,"In this course, the finance faculty will present their recent research in financial economics. The course will focus not only on the research itself but also on the process. How did this research project get started? How did this research project evolve? The course is designed to help Ph.D. students understand the research process.",Spr,1,"; Hebert, B. (PI); Molina, E. (GP)"
GSB,FINANCE 691,"PhD Directed Reading (ACCT 691, GSBGEN 691, HRMGT 691, MGTECON 691, MKTG 691, OB 691, OIT 691, POLECON 691, STRAMGT 691)","This course is offered for students requiring specialized training in an area not covered by existing courses. To register, a student must obtain permission from the faculty member who is willing to supervise the reading.","Aut, Win, Spr, Sum",1-15,"; Admati, A. (PI); Begenau, J. (PI); Berk, J. (PI); Blank, M. (PI); Buchak, G. (PI); Coppola, A. (PI); DeMarzo, P. (PI); Duffie, D. (PI); Grenadier, S. (PI); He, Z. (PI); Hebert, B. (PI); Koont, N. (PI); Krishnamurthy, A. (PI); Lustig, H. (PI); Maggiori, M. (PI); Paron, J. (PI); Pfleiderer, P. (PI); Rauh, J. (PI); Seru, A. (PI); Strebulaev, I. (PI); Vig, V. (PI); Zwiebel, J. (PI); de Silva, T. (PI); Abaya, S. (GP); Baxter, L. (GP); Dubon, M. (GP); Fajardo Montes, M. (GP); Molina, E. (GP); Ngoba, N. (GP); Woodhall, E. (GP)"
GSB,FINANCE 692,"PhD Dissertation Research (ACCT 692, GSBGEN 692, HRMGT 692, MGTECON 692, MKTG 692, OB 692, OIT 692, POLECON 692, STRAMGT 692)","This course is elected as soon as a student is ready to begin research for the dissertation, usually shortly after admission to candidacy. To register, a student must obtain permission from the faculty member who is willing to supervise the research.","Aut, Win, Spr, Sum",1-15,"; Admati, A. (PI); Begenau, J. (PI); Berk, J. (PI); Blank, M. (PI); Buchak, G. (PI); Coppola, A. (PI); DeMarzo, P. (PI); Duffie, D. (PI); Grenadier, S. (PI); He, Z. (PI); Hebert, B. (PI); Koont, N. (PI); Krishnamurthy, A. (PI); Lustig, H. (PI); Maggiori, M. (PI); Paron, J. (PI); Pfleiderer, P. (PI); Rauh, J. (PI); Seru, A. (PI); Strebulaev, I. (PI); Vig, V. (PI); Zwiebel, J. (PI); de Silva, T. (PI); Baxter, L. (GP); Woodhall, E. (GP)"
GSB,FINANCE 698,Doctoral Practicum in Teaching,Doctoral Practicum in Teaching,"Aut, Win, Spr, Sum",1,"; Admati, A. (PI); Begenau, J. (PI); Berk, J. (PI); Blank, M. (PI); Buchak, G. (PI); Coppola, A. (PI); DeMarzo, P. (PI); Duffie, D. (PI); Grenadier, S. (PI); He, Z. (PI); Hebert, B. (PI); Koont, N. (PI); Krishnamurthy, A. (PI); Lustig, H. (PI); Maggiori, M. (PI); Paron, J. (PI); Pfleiderer, P. (PI); Rauh, J. (PI); Seru, A. (PI); Strebulaev, I. (PI); Vig, V. (PI); Zwiebel, J. (PI); de Silva, T. (PI); Abaya, S. (GP); Baxter, L. (GP); Molina, E. (GP); Molina, M. (GP)"
GSB,FINANCE 699,Doctoral Practicum in Research,Doctoral Practicum in Research,"Aut, Win, Spr, Sum",1,"; Admati, A. (PI); Begenau, J. (PI); Berk, J. (PI); Blank, M. (PI); Buchak, G. (PI); Coppola, A. (PI); DeMarzo, P. (PI); Duffie, D. (PI); Grenadier, S. (PI); He, Z. (PI); Hebert, B. (PI); Koont, N. (PI); Krishnamurthy, A. (PI); Lustig, H. (PI); Maggiori, M. (PI); Paron, J. (PI); Pfleiderer, P. (PI); Rauh, J. (PI); Seru, A. (PI); Strebulaev, I. (PI); Vig, V. (PI); Zwiebel, J. (PI); de Silva, T. (PI); Abaya, S. (GP); Alvarez, G. (GP); Dubon, M. (GP); Fajardo Montes, M. (GP); Garcia, C. (GP); McCool, T. (GP); Molina, M. (GP); Ngoba, N. (GP)"
GSB,GSBGEN 299,The Core Curriculum in the Workplace,"GSB students are eligible to report on work experience that is relevant to their core studies under the direction of the Senior Associate Dean responsible for the MBA Program.  Registration for this work must be approved by the Assistant Dean of the MBA Program and is limited to students who present a project which, in judgment of the Advisor, may be undertaken to enhance the material learned in the first year core required courses.  It is expected that this research be carried on by the student with a large degree of independence and the expected result is a written report, typically due at the end of the quarter in which the course is taken. Specific assignment details and deadline information will be communicated to enrolled students. Units earned for this course do not meet the requirements needed for graduation.","Aut, Win, Spr, Sum",1,"; Beyer, A. (PI); Hayes, M. (SI); Beyer, A. (GP); Hayes, M. (GP); Molina, E. (GP)"
GSB,GSBGEN 307,Policy Time,"Policy Time is about the policy choices faced by senior American policymakers. Our main perspective is American and executive: decisions faced by the U.S. President, Governors, and their advisors. The lessons can extend to certain international settings as well We have two main goals: 1. To begin to build your personal policy approach, in which you will figure out how your values translate into real-world policy choices; and 2. To learn what it is like to be a senior  policymaker. Each week will cover a different policy topic. Likely topics include immigration reform, economics, whether and when and how companies should take public positions on policy issues, guns and gun control, social media policy challenges, the opioid crisis, and trade and industrial policy. Our exact topic schedule is flexible based in part on current events. This class is heavily participatory and involves a lot of class discussion. You will write 5-10 weekly short memos to explain your choices. This class is for beginners and assumes you have no prior knowledge of policy or politics.",Spr,4,"; Hennessey, K. (PI); Smeton, K. (GP)"
GSB,GSBGEN 315,Strategic Communication,"One of the few tasks a leader cannot delegate is communication. This course explores how leaders can communicate more effectively in a variety of business settings. We focus on audience analysis, communicator credibility, content organization and delivery. Graded assignments include oral presentations, slide decks and written critiques. Students present both individually and in a team - sometimes with little or no time to prepare. After each assignment, students receive feedback to improve their communication effectiveness. An important feature of this course is that there are two faculty members working in concert to ensure that students get rigorous and individualized coaching and feedback. In this course you learn to: 1) Be more strategic with your approach to communication 2) Develop more organized and effective presentations and documents 3) Adapt your delivery style to different content and audiences. Students at all levels of comfort and expertise with public speaking benefit from this course.","Aut, Win, Spr",4,"; Alper, B. (PI); Kluger, A. (SI); Shaker, S. (GP)"
GSB,GSBGEN 317,Reputation Management: Strategies for Successful Communicators,"Reputation is the echo that precedes you into a room and lingers long after you leave that room. Reputation is also about understanding if what you are putting out into the world is being perceived the way you hope it is. If there is a disconnect, then your work, career, and relationships can suffer. This class covers reputation along three tiers: Personal, Team and Organizations. Whether you are a manager, director, CEO, a start-up founder, or even undecided, you will absolutely benefit from this class. Assignments include a Personal Reputation Analysis Project, the PRAP, where you will come with an hypothesis about your reputation, then test it by sending out an anonymous survey to friends and colleagues to gather feedback on what you are doing well, and possibly identify blind spots. Next is the RESD, a Reputation Exploration Slide Doc of a leader, company or current reputation situation (national or international). Using frameworks taught in class, you will analyze a reputation and come up with recommendations for that entity to move forward successfully with their reputation improved, fixed or intact. And finally, a personal reflection paper. We will have dynamic guests each with a reputation framework, case study, or lesson to help you navigate and anticipate reputation pitfalls. This is an interactive class built on conversations, activities, and the examination of current events. Typical classes are Generational Reputation, Reputation of News and Fake News, Online Reputation, Reputation within a working Team, Lessons from a Reputation Fixer, How to use Social Media to expand or evolve your Reputation, Reputation and the Power of Apologies, and Leadership Reputation.",Spr,3,"; Kluger, A. (PI); Shaker, S. (GP)"
GSB,GSBGEN 320,Neuroscience and the Connection to Sustained Excellence,"Recent work on human performance is beginning to unravel biological, neurobiological and psychological factors that separate the best performers from the rest, providing rich insights into how we all can (re)wire our mind and body for manifesting sustained excellence. Offered in the spirit of a retreat/workshop, the thrust of this course is two-fold. First, expose students to neurobiological frameworks, serving as scaffolding for appreciating the importance of practices aimed toning the body and the mind such as breathing, naps, laughter, fitness, etc. for setting oneself up for peak performance. Second, give students a chance to transform their own body and mind by experimenting with various techniques such as parasympathetic breathing, micro-breaks, the I(Interrupt)-R(Relax)-R(Reframe), the Invisioning-Envisioning series of exercises, etc. Students will be encouraged to monitor their transformation, including regular measurements of their Heart Rate Variability (HRV), a key bio-marker for resilience and vibrancy that are at the core of manifesting sustained excellence.",Spr,3,"; Shiv, B. (PI); Tai, G. (SI); Yan, J. (GP)"
GSB,GSBGEN 339,"Negotiation Dynamics in Sports, Entertainment and Media","Negotiation is a central part of business in the worlds of sports and entertainment. This course will examine negotiation dynamics and key takeaways for general management from multiple different settings where negotiations had an important role--these will include preparing for a negotiation, the negotiation process itself, contractual outcomes of negotiation and their execution and in some cases litigation. The settings will include negotiations over player and actor contracts, negotiations between leagues and players associations, negotiations between investors and movie companies, and negotiations between content providers (both in sports and entertainment) and distribution partners (such as cable stations, international media companies, and online companies such as Netflix). Each of the six sessions is planned to include at least one and in some cases two guests that have had extensive experience in negotiations.",Spr,4,"; Foster, G. (PI); Hinkie, S. (SI); Marathe, P. (SI); Bagalso, R. (GP)"
GSB,GSBGEN 352,Winning Writing,"This once-a-week full-quarter workshop will offer techniques and practical in-class exercises for writing better -- better memos, emails, cold-call letters, speeches, feedback for colleagues, news releases, responses to questions from the media and from interviewers, and opinion pieces. Glenn Kramon, an editor who has helped New York Times reporters win 10 Pulitzer Prizes, will teach the course along with accomplished journalists with expertise in powerful, persuasive writing for business. They will provide not only helpful tips but constructive feedback on students' work. They will also share thoughts on how best to work with the news media.","Aut, Spr",3,"; Konrad, R. (PI); Kramon, G. (PI); Jimenez, F. (GP); Rivera, S. (GP)"
GSB,GSBGEN 357,How to Compete with China,"This is a course to help future business leaders understand the policy risks that result from the changing relationship between the United States and China. Driven in part by policy decisions over the past decade in Washington and Beijing, the world built by the West after World War II is changing. Most American policymakers now label the relationship between the U.S. and China as one of strategic competition. They are often less clear on whether this term applies to the governments, the peoples, the businesses based within each country, or the two nation-states. At the same time, these two superpowers also have shared interests. We seek to understand the changing relationships between the U.S. and China, and what both competition and possible cooperation between their governments mean for others. American business leaders may be caught between two governments with conflicting interests. Business leaders in other countries may be caught among three governments: America, China, and their home-country government. This is a course not about China per se, but instead about the interactions between these two superpowers' governments and policies. We will look at the U.S.-China relationship by unpacking and examining distinct elements, devoting 1 or 2 class sessions on each topic. Relying in part on guests with practical expertise in some element of the U.S.-China relationship, our goals are to understand:* The most significant changes in Chinese policy direction in the Xi era;* Changes among Western leaders' policy approaches as they have realized their 50-year-old policy toward China either was wrong or is now out-of-date;* What the strategic competition label might mean and how it could translate into specific policy changes in both countries;* What opportunities exist for cooperation and mutual benefit despite strategic competition;* How China might try to change the post-WWII international rules and organizations;* How leaders of global businesses, in the U.S., China, and other countries, are caught between these two governments;* What decoupling in certain industries might mean; and* Possible ways to think about these issues as the U.S.-China relationship evolves.",Spr,4,"; Hennessey, K. (PI); Smeton, K. (GP)"
GSB,GSBGEN 373,Mission and Money in Education,"Educational institutions are defined by their academic missions and their financial structures. When we refer to public/private or nonprofit/profit sectors, these are shorthand descriptions of the different capital structures that underlie educational organizations. Increasingly, these options - and novel variations on them - exist throughout the education enterprise: in K-12 schools, higher education, and ancillary service providers. In this course we will explore the relationships between academic goals and financial structures, with particular focus on management and decision making in educational organizations.",Spr,3,"; Eger, W. (PI); Eger, W. (GP)"
